twitter	name_first	name_middle	name_last	state	position	party	inactive 
BarackObama	Barack		Obama	D.C.	President	Democrat	inactive 
obamainaugural	Barack		Obama	D.C.	President	Democrat	inactive 
BarbByrum	Barb		Bynum	Mich.	Local Agency	Democrat	inactive 
babsramsey	Barbara		Ramsey	Neb.	House Candidate	Democrat	inactive 
BarbaraBollier	Barbara		Bollier	Kan.	Senate Candidate	Democrat	inactive 
BarbaraBoxer	Barbara		Boxer	Calif.	Senator	Democrat	inactive 
BarbaraBuono	Barbara		Buono	N.J.	Gubernatorial Candidate	Democrat	inactive 
BarbaraComstock	Barbara		Comstock	Va.	House Candidate	Republican	inactive 
bestmom39	Barbara		Sharief	Fla.	House Candidate	Democrat	
BLeeForCongress	Barbara		Lee	Calif.	House Candidate	Democrat	
BMalloryCaraway	Barbara	Mallory	Caraway	Texas	House Candidate	Democrat	inactive 
RepBarbaraLee	Barbara		Lee	Calif.	House Representative	Democrat	
RepComstock	Barbara		Comstock	Va.	House Representative	Republican	inactive 
SenatorBarb	Barbara		Mikulski	Md.	Senator	Democrat	inactive 
SenatorBoxer	Barbara		Boxer	Calif.	Senator	Democrat	inactive 
teambarbara	Barbara		L&#39;Italien	Mass.	House Candidate	Democrat	inactive 
HolmanLeak	Barrett	Holman	Leak	Calif.	House Candidate	Democrat	
BarryGrissomKS	Barry		Grissom	Kan.	Senate Candidate	Democrat	inactive 
BarryHinckley	Barry		Hinckley	R.I.	Senate Candidate	Republican	inactive 
BarryMoore	Barry		Moore	Ala.	House Candidate	Republican	
RepBarryMoore	Barry		Moore	Ala.	House Representative	Republican	
RepLoudermilk	Barry		Loudermilk	Ga.	House Representative	Republican	
standwithbarry	Barry		Loudermilk	Ga.	House Candidate	Republican	
RealBetyCardens	Beatrice		Cardenas	Calif.	House Candidate	Republican	inactive 
BCannon4GA	Beau		Cannon	Ga.	House Candidate	Democrat	
beauforcongress	Beau		Liegeois	Wis.	House Candidate	Democrat	inactive 
BeauRMcCoy	Beau		McCoy	Neb.	Gubernatorial Candidate	Republican	inactive 
BeckyWGrossman	Becky	W	Grossman	Mass.	House Candidate	Democrat	inactive 
Hites4Congress	Becky		Hites	Fla.	House Candidate	Republican	
Hites4G	Becky	E	Hites	Ga.	House Candidate	Republican	inactive 
beejdas	Beej		Das	Mass.	House Candidate	Democrat	inactive 
BellCoElections	Bell	County	Elections	Texas	Local Agency	Other	inactive 
BAEforCongress	Ben		Emard	Calif.	House Candidate	Democrat	inactive 
